name,platform,dependents_count,dependent_repos_count,stars,forks,contributions_count,rank,gap,reverse_gap,hidden_score,critical_fragile,staleness_years,release_count,releases_per_year,first_release_year,last_release_year,license,domain,repo_host,repo_org,status,deprecation_reason,cluster,keywords_text
react-transform-catch-errors,npm,925,515,184,23,13,21,0.25396128505472326,-0.25396128505472326,-0.02769453303770114,2.9217145446457047,9.930184804928132,8,4.0,2015,2016,MIT,web,github.com,gaearon,,,3,react-transform react reactjs errors rhl dx
platform,npm,925,354,3234,409,22,23,0.41638263362684036,-0.41638263362684036,-0.603890616159747,0.44075188055911074,5.514031485284052,15,1.5,2011,2020,MIT,other,github.com,bestiejs,,,3,environment platform ua useragent detection user-agent
@nestjs/graphql,npm,949,299,1526,419,138,21,0.500602350569185,-0.500602350569185,-0.29324381387055015,-1.9630000537470804,0.07118412046543464,251,27.88888888888889,2017,2025,MIT,web,github.com,nestjs,,,0,apollo apollographql graphql hacktoberfest javascript nest nestjs nodejs typescript
gulp-webserver,npm,925,568,356,84,17,20,0.21149872028686323,-0.21149872028686323,-0.30682303340069056,2.8307911105482644,10.680355920602327,25,12.5,2014,2015,MIT,web,github.com,schickling,,,3,gulpplugin webserver connect livereload
eslint-config-react,npm,928,372,6,3,3,19,0.396306882184954,-0.396306882184954,1.0563135583249255,4.1480186585546495,9.204654346338124,13,6.5,2015,2016,MIT,devtools,github.com,patrio,,,3,eslint eslintconfig
enquire.js,npm,922,234,3613,267,8,22,0.5941338387541757,-0.5941338387541757,-0.3553209978771801,1.9298821335225085,8.821355236139631,5,1.25,2014,2017,MIT,other,github.com,wickynilliams,,,3,media query media queries matchmedia enquire enquire.js
react-quill,npm,922,195,6953,942,51,21,0.672945629669436,-0.672945629669436,-0.4403498165581239,-0.8401806362233054,3.430527036276523,49,5.444444444444445,2014,2022,MIT,web,github.com,zenoamaro,,,0,react react-component rich text rich-text textarea quill editor rich-text-editor wysiwyg-editor
gulp-inject,npm,922,496,809,93,38,21,0.2688453122925796,-0.2688453122925796,-0.4265032496917498,0.7560180826912013,6.028747433264887,37,6.166666666666667,2014,2019,MIT,web,github.com,klei,,,3,gulpplugin inject stylesheets webcomponents scripts index
@backstage/core-app-api,npm,923,167,32252,6999,1056,23,0.7403626894942437,-0.7403626894942437,-0.7982735050204024,-3.803304429079498,0.06023271731690623,1152,230.4,2021,2025,Apache-2.0,multi,github.com,backstage,,,0,backstage cncf developer-experience developer-portal dx hacktoberfest infrastructure microservices self-service-portal
pdfkit,npm,921,409,10389,1192,103,23,0.3519470643338938,-0.3519470643338938,-1.0327719999323983,-2.270283685698277,0.35592060232717315,59,3.933333333333333,2011,2025,MIT,other,github.com,foliojs,,,5,pdf pdf writer pdf generator graphics document vector
phantomjs-polyfill,npm,923,565,42,6,1,19,0.21285554003183504,-0.21285554003183504,0.32434790566985716,4.227228308169643,9.86447638603696,2,1.0,2015,2016,ISC,other,github.com,tom-james-watson,,,3,phantomjs bind polyfill
dom-serializer,npm,921,381,140,72,23,21,0.3826675581419203,-0.3826675581419203,0.15822041061119538,0.6599432996082172,3.7481177275838466,17,1.8888888888888888,2014,2022,MIT,multi,github.com,cheeriojs,,,5,html xml render cheeriojs htmlparser2
