name,dependents_count,dependent_repos_count,staleness_years,latest_release_date,license
@semantic-release/changelog,12932,8232,2.7953456536618755,2023-03-23 22:40:48.802000+00:00,MIT
babelify,12898,8366,7.337440109514032,2018-09-07 00:22:00.634000+00:00,MIT
babel-plugin-external-helpers,12804,7672,8.229979466119097,2017-10-15 13:11:12.386000+00:00,MIT
es6-promise,12390,5412,6.590006844626968,2019-06-06 17:59:23.476000+00:00,MIT
babel-plugin-syntax-jsx,12205,2932,8.229979466119097,2017-10-15 13:11:17.779000+00:00,MIT
rollup-plugin-replace,11833,5849,6.74880219028063,2019-04-10 04:46:37.018000+00:00,MIT
rollup-plugin-vue,11811,3732,5.117043121149897,2020-11-25 16:46:12.258000+00:00,MIT
react-addons-test-utils,11622,6745,8.284736481861739,2017-09-26 00:22:10.554000+00:00,MIT
babel-plugin-import,11622,2542,2.455852156057495,2023-07-26 09:30:13.990000+00:00,MIT
co,11600,5081,10.499657768651609,2015-07-09 22:30:44.562000+00:00,MIT
@angular/http,11552,3609,5.9986310746064335,2020-01-08 20:21:34.712000+00:00,MIT
friendly-errors-webpack-plugin,11547,3239,6.494182067077344,2019-07-12 09:50:44.059000+00:00,MIT
assert,11293,5205,2.3353867214236823,2023-09-07 18:29:45.090000+00:00,MIT
@types/jasminewd2,11197,2537,2.1711156741957565,2023-11-07 08:15:40.896000+00:00,MIT
@babel/plugin-proposal-optional-chaining,11167,4531,2.7624914442162902,2023-04-04 15:13:36.378000+00:00,MIT
whatwg-fetch,11141,4615,2.0698151950718686,2023-12-13 23:16:24.862000+00:00,MIT
rollup-plugin-json,11115,5255,6.809034907597536,2019-03-18 16:40:53.908000+00:00,MIT
gulp-eslint,11112,7592,6.529774127310062,2019-06-28 16:56:42.582000+00:00,MIT
electron-lite,10887,10580,7.003422313483915,2019-01-07 07:41:49.625000+00:00,MIT
utility2,10856,10551,5.152635181382615,2020-11-12 18:08:53.938000+00:00,MIT
expect.js,10791,6428,11.879534565366187,2014-02-20 15:23:47.596000+00:00,Unknown
babel-plugin-transform-decorators-legacy,10703,5068,7.60848733744011,2018-05-30 19:46:20.966000+00:00,MIT
react-hot-loader,10660,4824,3.154004106776181,2022-11-13 04:21:11.520000+00:00,MIT
babel-plugin-transform-es2015-modules-commonjs,10639,5604,7.701574264202601,2018-04-26 16:43:33.470000+00:00,MIT
microbundle,10562,5704,3.405886379192334,2022-08-12 22:06:46.946000+00:00,MIT
esm,10386,5322,6.647501711156742,2019-05-17 05:24:41.368000+00:00,MIT
awesome-typescript-loader,10385,5024,7.337440109514032,2018-09-06 20:22:56.737000+00:00,MIT
run-sequence,10369,6563,8.010951403148528,2018-01-03 16:22:13.608000+00:00,MIT
microbundle-crl,10283,4182,5.522245037645448,2020-06-30 16:13:38.753000+00:00,MIT
mysql,10271,4156,5.9575633127994525,2020-01-23 18:09:18.618000+00:00,MIT
gulp-typescript,10228,5065,6.140999315537303,2019-11-17 21:53:39.016000+00:00,MIT
xml2js,10066,5725,2.455852156057495,2023-07-26 10:23:09.713000+00:00,MIT
karma-spec-reporter,9976,4104,3.0636550308008212,2022-12-15 16:15:21.635000+00:00,MIT
prompts,9933,4245,4.251882272416153,2021-10-07 21:23:57.263000+00:00,MIT
@testing-library/react-hooks,9924,4701,3.5564681724845997,2022-06-18 13:20:19.073000+00:00,MIT
gulp-plumber,9920,6649,7.112936344969199,2018-11-27 16:39:12.769000+00:00,MIT
download-git-repo,9908,2516,6.239561943874059,2019-10-12 21:46:57.820000+00:00,MIT
tap-spec,9883,8268,7.594798083504449,2018-06-05 09:00:09.960000+00:00,MIT
events,9625,3880,4.85968514715948,2021-02-27 16:51:27.318000+00:00,MIT
eslint-friendly-formatter,9584,3496,7.750855578370979,2018-04-09 04:25:35.741000+00:00,MIT
babel-plugin-transform-vue-jsx,9518,2037,7.84394250513347,2018-03-05 23:08:28.550000+00:00,MIT
request-promise,9473,5017,5.464750171115674,2020-07-22 01:41:07.199000+00:00,ISC
postcss-flexbugs-fixes,9446,3764,5.130732375085558,2020-11-20 13:10:41.484000+00:00,MIT
@react-native-community/eslint-config,9412,4596,3.1786447638603694,2022-11-03 17:05:03.959000+00:00,MIT
proxyquire,9315,6410,6.406570841889117,2019-08-12 13:54:46.049000+00:00,MIT
karma-mocha-reporter,9306,5203,8.227241615331964,2017-10-17 08:22:15.786000+00:00,MIT
isomorphic-fetch,9306,4304,5.292265571526352,2020-09-23 07:27:09.864000+00:00,MIT
rollup-plugin-sourcemaps,9081,4026,5.25119780971937,2020-10-07 19:22:45.230000+00:00,MIT
inherits,9068,3941,6.55441478439425,2019-06-19 20:18:52.465000+00:00,ISC
babel-helper-vue-jsx-merge-props,8955,1914,8.09034907597536,2017-12-06 02:19:42.799000+00:00,MIT
@types/react-router-dom,8901,2545,3.969883641341547,2022-01-18 22:04:15.185000+00:00,MIT
jshint-stylish,8830,6763,9.404517453798768,2016-08-13 00:26:16.546000+00:00,MIT
promise,8762,4693,3.2032854209445585,2022-10-25 13:21:12.176000+00:00,MIT
phantomjs-prebuilt,8732,4944,8.180698151950718,2017-11-02 20:24:23.841000+00:00,Apache-2.0
md5,8567,3276,5.434633812457221,2020-08-02 10:29:33.749000+00:00,BSD-3-Clause
karma-cli,8561,3697,7.101984941820671,2018-12-01 17:15:55.092000+00:00,MIT
css-split-webpack-plugin,8547,110,7.279945242984257,2018-09-28 01:09:47.952000+00:00,CC0-1.0
grunt-contrib-copy,8482,5533,9.845311430527037,2016-03-04 20:52:10.227000+00:00,MIT
node-notifier,8465,2832,3.9315537303216974,2022-02-01 20:40:14.517000+00:00,MIT
rollup-plugin-copy,8435,3098,2.351813826146475,2023-09-02 11:06:46.889000+00:00,MIT
redux-thunk,8377,2866,2.0944558521560577,2023-12-04 13:50:37.326000+00:00,MIT
json5,8317,3856,3.0198494182067077,2022-12-31 17:11:32.047000+00:00,MIT
fast-sass-loader,8291,64,4.136892539356605,2021-11-18 15:30:59.991000+00:00,MIT
js-cookie,8280,1643,2.7104722792607805,2023-04-24 09:23:51.443000+00:00,MIT
grunt-contrib-concat,8254,5493,3.7672826830937716,2022-04-03 11:56:31.942000+00:00,MIT
@material-ui/icons,8237,2267,3.7645448323066395,2022-04-03 14:37:36.828000+00:00,MIT
@alifd/babel-preset-next,8234,4,5.174537987679671,2020-11-05 09:11:54.448000+00:00,MIT
gulp-jshint,8234,6129,8.02464065708419,2017-12-29 18:50:00.969000+00:00,MIT
