name,gap_pypi,gap_npm,dependents_count_pypi,dependents_count_npm,dependent_repos_count_pypi,dependent_repos_count_npm,gap_diff
rlp,0.16331697101925258,0.34378197608493144,200,767,137,347,-0.18046500506567886
jsonpointer,0.2997656731352216,0.48123782091449474,342,529,171,174,-0.18147214777927312
multiformats,0.3162699622207181,0.49792976070785855,28,1538,13,488,-0.18165979848714042
stellar-sdk,0.17609125905568135,0.35881309701037534,26,296,17,129,-0.182721837954694
clang-format,0.10389613386872254,0.288458223127563,46,714,36,367,-0.18456208925884043
crypto,0.18009400150935484,0.36511273642326403,217,6246,143,2694,-0.1850187349139092
pbkdf2,0.16208054461286658,0.35035774869611513,60,949,41,423,-0.18827720408324855
deepmerge,0.22124091959144998,0.4115418443320191,237,14723,142,5707,-0.19030092474056914
dotenv,0.2970638084463799,0.48982956960013624,108,107184,54,34697,-0.19276576115375632
readline,0.18326984368280463,0.38189707305599985,60,3148,39,1306,-0.1986272293731952
neo4j-driver,0.14841983245782275,0.3483293080784349,37,532,26,238,-0.19990947562061212
fs,0.19728055812561918,0.3989210221497155,251,16619,159,6632,-0.2016404640240963
cowsay,0.37819595047628063,0.5821830197472648,42,725,17,189,-0.2039870692709842
cloudinary,0.21670910996394532,0.42276359239706984,27,764,16,288,-0.20605448243312452
pubnub,0.14612803567823796,0.3540781757780356,20,286,14,126,-0.20795014009979762
download,0.10645533091428683,0.3194016857350239,22,2534,17,1214,-0.2129463548207371
config,0.24303804868629442,0.4581942895441715,34,5993,19,2086,-0.2151562408578771
nanoid,0.3067071285556717,0.5232412033801968,76,15582,37,4670,-0.21653407482452502
semver,0.1880082933538909,0.40741201344871225,1015,57916,658,22666,-0.21940372009482134
log-symbols,0.20647388804940214,0.4272254053313933,36,7613,22,2846,-0.22075151728199116
geojson,0.19615461790370858,0.418695230262657,442,374,281,142,-0.2225406123589484
moment,0.276206411938949,0.4987853513354148,16,87217,8,27657,-0.22257893939646578
docker-compose,0.1688648946296314,0.39169105939503623,148,275,100,111,-0.22282616476540484
wcwidth,0.27350388621809607,0.4989558763238673,1512,1447,805,458,-0.22545199010577122
qrcode,0.2822974107320215,0.5101733996436302,725,4625,378,1428,-0.22787598891160865
colorful,0.22184874961635637,0.4544572700837186,99,671,59,235,-0.23260852046736225
chardet,0.21535127702390167,0.4480997617045066,3493,1938,2127,690,-0.23274848468060494
sha3,0.10473535052001304,0.3505153587438996,13,454,10,202,-0.24578000822388657
bcrypt,0.3096301674258988,0.5607045191839326,1376,8487,674,2333,-0.25107435175803383
secp256k1,0.07918124604762489,0.3353690191017127,65,2051,54,947,-0.2561877730540878
pinyin,0.17609125905568113,0.43662003990231124,23,398,15,145,-0.2605287808466301
brotli,0.12257200332919305,0.4001778210383793,60,680,45,270,-0.27760581770918624
aws-xray-sdk,0.17069622716897515,0.46891128467483245,39,261,26,88,-0.2982150575058573
fabric,0.27028496382715694,0.5752635785544817,258,1146,138,304,-0.3049786147273248
bip32,0.11918640771920885,0.4431367574092948,24,1461,18,526,-0.32395034969008596
detox,0.06694678963061329,0.4065852340656053,20,481,17,188,-0.339638444434992
inquirer,0.28795858681622244,0.6449579051532179,719,119366,370,27034,-0.3569993183369955
lit,0.3103700219181247,0.6824639587611525,46,9318,22,1935,-0.37209393684302783
language-tags,0.08715017571890016,0.48279838761135263,21,692,17,227,-0.3956482118924525
clipboard,0.2568263331719276,0.6555100536336163,111,3600,61,795,-0.39868372046168865
telebot,0.5149098156090623,0.9208187539523749,35,474,10,56,-0.40590893834331254
build,0.21787045173432107,0.6538916296008308,8149,639,4934,141,-0.43602117786650973
google-gax,0.16481024864599214,0.6734158998636306,18,362,12,76,-0.5086056512176385
