judge,avg_len,reversal_rate
"HONOURABLE MR JUSTICE RMT. TEEKAA RAMAN,HONOURABLE  MR.JUSTICE N.SENTHILKUMAR",1297.6792452830189,0.2830188679245283
"HONOURABLE MR JUSTICE M.S. RAMESH,HONOURABLE DR.JUSTICE A.D.MARIA CLETE",1298.0718232044198,0.06629834254143646
"HONOURABLE MR JUSTICE G.R.SWAMINATHAN,HONOURABLE MR JUSTICE B.PUGALENDHI",1298.6222222222223,0.2
"HONOURABLE DR JUSTICE G. JAYACHANDRAN,HONOURABLE MS.JUSTICE R. POORNIMA",1299.3424657534247,0.1232876712328767
"HONOURABLE MR JUSTICE G.R.SWAMINATHAN,HONOURABLE MR.JUSTICE M.JOTHIRAMAN",1299.5882352941176,0.17647058823529413
"HONOURABLE THE CHIEF JUSTICE,HONOURABLE  MR JUSTICE V. LAKSHMINARAYANAN",1302.4354838709678,0.016129032258064516
"HONOURABLE MR JUSTICE P.VELMURUGAN,HONOURABLE MR JUSTICE B.PUGALENDHI",1303.0,0.0
"HONOURABLE MRS JUSTICE J. NISHA BANU,HONOURABLE MRS JUSTICE S.SRIMATHY",1304.2222222222222,0.1111111111111111
"HONOURABLE MR JUSTICE N. SESHASAYEE,HONOURABLE MRS JUSTICE L.VICTORIA GOWRI",1315.2,0.0
"HONOURABLE MR JUSTICE G.R.SWAMINATHAN,HONOURABLE MRS JUSTICE S.SRIMATHY",1319.4666666666667,0.6
"HONOURABLE MR JUSTICE R. SUBRAMANIAN,HONOURABLE MRS JUSTICE L.VICTORIA GOWRI",1354.6666666666667,0.6666666666666666
