metric,emotion,value,split,model,genre
pearson,tension,0.27722495273588504,leave_one_genre_out,Ridge,classical
spearman,tension,0.27601653692950645,leave_one_genre_out,Ridge,classical
ece,tension,0.06556617733186348,leave_one_genre_out,Ridge,classical
mae,sadness,0.19488085915201658,leave_one_genre_out,Ridge,classical
pearson,sadness,-0.04691765645240585,leave_one_genre_out,Ridge,classical
spearman,sadness,-0.02134464126623619,leave_one_genre_out,Ridge,classical
ece,sadness,0.15320492208618633,leave_one_genre_out,Ridge,classical
mae,macro,0.16828627007056238,leave_one_genre_out,Ridge,classical
pearson,macro,0.17454885381257074,leave_one_genre_out,Ridge,classical
spearman,macro,0.1866122630956298,leave_one_genre_out,Ridge,classical
ece,macro,0.1183309183441641,leave_one_genre_out,Ridge,classical
topk_overlap,macro,0.45666666666666667,leave_one_genre_out,Ridge,classical
mae,amazement,0.07941500342596401,leave_one_genre_out,RandomForest,classical
pearson,amazement,0.23589962973467435,leave_one_genre_out,RandomForest,classical
spearman,amazement,0.2575747211017478,leave_one_genre_out,RandomForest,classical
ece,amazement,0.04619368685346251,leave_one_genre_out,RandomForest,classical
mae,solemnity,0.11665994450905695,leave_one_genre_out,RandomForest,classical
pearson,solemnity,0.1444642371607467,leave_one_genre_out,RandomForest,classical
spearman,solemnity,0.1097763694105876,leave_one_genre_out,RandomForest,classical
ece,solemnity,0.060115789820847434,leave_one_genre_out,RandomForest,classical
mae,tenderness,0.1350524519311258,leave_one_genre_out,RandomForest,classical
pearson,tenderness,0.1492584750886066,leave_one_genre_out,RandomForest,classical
spearman,tenderness,0.17266354254622157,leave_one_genre_out,RandomForest,classical
ece,tenderness,0.05293308563519076,leave_one_genre_out,RandomForest,classical
mae,nostalgia,0.15792852477465735,leave_one_genre_out,RandomForest,classical
pearson,nostalgia,0.1836071635626701,leave_one_genre_out,RandomForest,classical
spearman,nostalgia,0.18356051111050908,leave_one_genre_out,RandomForest,classical
ece,nostalgia,0.09955151177062606,leave_one_genre_out,RandomForest,classical
mae,calmness,0.18113867399887484,leave_one_genre_out,RandomForest,classical
pearson,calmness,0.4937565932167569,leave_one_genre_out,RandomForest,classical
spearman,calmness,0.5148306649491611,leave_one_genre_out,RandomForest,classical
ece,calmness,0.06987191076146093,leave_one_genre_out,RandomForest,classical
mae,power,0.10912736204877872,leave_one_genre_out,RandomForest,classical
pearson,power,0.2320116754794368,leave_one_genre_out,RandomForest,classical
spearman,power,0.30171404857613465,leave_one_genre_out,RandomForest,classical
ece,power,0.03400423934553899,leave_one_genre_out,RandomForest,classical
mae,joy,0.20735340146925896,leave_one_genre_out,RandomForest,classical
pearson,joy,0.39652684047125175,leave_one_genre_out,RandomForest,classical
spearman,joy,0.44729859333104643,leave_one_genre_out,RandomForest,classical
ece,joy,0.15873608402062966,leave_one_genre_out,RandomForest,classical
mae,tension,0.12727596250298429,leave_one_genre_out,RandomForest,classical
pearson,tension,0.07680754956041201,leave_one_genre_out,RandomForest,classical
