chain_id,max_depth,total_nodes
231482,10,10
230326,10,10
230314,10,10
228636,10,10
226352,10,10
226064,10,10
219197,10,13
216822,10,10
207501,10,16
206570,10,10
205273,10,10
204123,10,10
204113,10,10
202417,10,10
200119,10,10
199841,10,10
192953,10,13
190546,10,10
182244,10,27
179737,10,10
177294,10,10
176749,10,16
175754,10,10
174750,10,14
173395,10,10
172291,10,13
171541,10,10
167775,10,10
167681,10,10
166477,10,10
263850,9,9
263173,9,9
254046,9,23
250362,9,9
248143,9,9
246087,9,9
243898,9,12
243269,9,14
240803,9,9
240707,9,9
240199,9,9
238025,9,9
237675,9,13
234326,9,10
232772,9,9
231752,9,10
230504,9,9
227213,9,9
227207,9,9
227195,9,9
225601,9,12
221256,9,9
219910,9,9
216349,9,9
210468,9,19
208131,9,10
206584,9,9
205267,9,10
204291,9,9
201002,9,9
200977,9,9
200966,9,9
199368,9,12
193659,9,9
179893,9,9
177818,9,9
177465,9,15
175842,9,9
174009,9,9
173626,9,9
172364,9,11
172133,9,9
165770,9,9
165640,9,9
163151,9,9
263571,8,8
255340,8,11
254904,8,8
254782,8,8
251536,8,8
251009,8,8
246641,8,8
246382,8,8
245447,8,8
245191,8,8
242223,8,8
239364,8,8
238364,8,8
238217,8,11
237609,8,8
237361,8,14
234440,8,8
234413,8,8
232473,8,9
231580,8,8
231344,8,8
230664,8,8
229177,8,17
229050,8,8
227166,8,8
227146,8,8
227138,8,8
227123,8,8
227011,8,8
225772,8,10
224836,8,8
222891,8,8
222887,8,8
222586,8,8
222197,8,8
221824,8,8
221284,8,8
221271,8,8
221250,8,8
220056,8,8
219944,8,9
219690,8,8
219231,8,8
217693,8,8
216648,8,8
216506,8,9
215897,8,8
215768,8,11
214261,8,8
213674,8,8
208214,8,8
208191,8,8
206282,8,9
205134,8,8
204459,8,8
202963,8,17
202845,8,8
200925,8,8
200916,8,8
200904,8,8
200895,8,8
199549,8,10
198590,8,8
196671,8,8
196663,8,8
196338,8,8
195956,8,8
195589,8,8
193804,8,8
193695,8,9
190390,8,8
190254,8,9
189618,8,8
189488,8,11
188003,8,8
187420,8,8
175426,8,8
175372,8,8
172270,8,8
170938,8,12
169725,8,8
168332,8,8
166641,8,8
165146,8,9
164613,8,8
163160,8,8
162899,8,8
263328,7,33
261699,7,7
260434,7,7
259714,7,7
256837,7,13
256071,7,7
255818,7,11
254855,7,7
253090,7,21
251824,7,15
251804,7,14
250921,7,7
250620,7,7
250104,7,7
249461,7,7
247892,7,9
246370,7,7
245954,7,7
245647,7,7
245019,7,9
244706,7,7
244694,7,7
244236,7,10
243510,7,7
242102,7,7
240490,7,7
240345,7,7
237829,7,7
237586,7,7
236643,7,7
235352,7,7
235336,7,7
235316,7,7
235255,7,7
234836,7,7
234754,7,7
234545,7,7
234389,7,8
233751,7,9
233746,7,9
233733,7,9
233316,7,8
232835,7,7
232514,7,10
232349,7,12
232152,7,7
231936,7,7
231568,7,7
231466,7,7
230493,7,7
