"trip_distance","trips","avg_tip_pct"
9.2,1944362,0.15398835068808484
9.3,1736426,0.15580348327423751
9.4,1898652,0.1544167377533738
9.5,1676244,0.1551851797990723
9.6,1838964,0.1541634558782197
9.7,1640682,0.15613751772729983
9.8,1815002,0.15495303434179133
9.9,1607728,0.1565683676123929
10,1776488,0.1553105433801043
10.1,1536350,0.15571571559485747
10.2,1673872,0.15435605435282249
10.3,1467354,0.1544428910159966
10.4,1613070,0.1531974611513813
10.5,1434204,0.1550211430439329
10.6,1551320,0.15340100784560584
10.7,1326362,0.15307632970496657
10.8,1412398,0.15070867112731756
10.9,1225694,0.15062118521196452
11,1335754,0.14947248306116964
11.1,1137644,0.14988552591255727
11.2,1232570,0.1464455064080943
11.3,1072494,0.14613782178897808
11.4,1150508,0.14304234095801902
11.5,977056,0.14205328104766116
11.6,1037210,0.1397860539577963
11.7,877110,0.13967505917316003
11.8,926064,0.1379027199776533
11.9,801364,0.1383975267745095
12,879328,0.1385090770211658
12.1,742190,0.1385461299064324
12.2,783946,0.1375397161836065
12.3,664088,0.13737942359796146
12.4,700844,0.13565054978405108
12.5,592192,0.13620876901380818
12.6,625716,0.1345091104137492
12.7,530446,0.1349723746254391
12.8,563166,0.1325804605421172
12.9,475968,0.1328110016027606
13,513864,0.131328889730793
13.1,432488,0.1304659017172973
13.2,465562,0.12896405473124012
13.3,399398,0.12932776791207845
13.4,431484,0.12786959363490732
13.5,373442,0.12701054025248854
13.6,402218,0.12504877468069342
13.7,350532,0.12555715644614657
13.8,382024,0.12420523032358173
13.9,335012,0.12462681714878271
14,368338,0.12398368505573601
14.1,317628,0.12359746335938583
14.2,343684,0.12096195906045935
14.3,302124,0.12254325583869458
14.4,333996,0.12085037247595161
14.5,295598,0.12177405793333163
14.6,328868,0.12178515749559025
14.7,291034,0.12326967620830932
14.8,319020,0.12136096287835711
14.9,284332,0.1223290781321516
15,321942,0.12207349757244938
15.1,287976,0.12353853793420673
15.2,323466,0.12306107545270382
15.3,296724,0.12435066186538686
15.4,340832,0.12437823175876493
15.5,312714,0.12758322594930285
15.6,358120,0.12706639129943184
15.7,327020,0.12815671090287525
15.8,377148,0.12786400130754827
15.9,355214,0.12910320912854975
16,419802,0.1292711090894269
16.1,394302,0.1301725818907124
16.2,460166,0.1296750967385783
16.3,437048,0.13038486553885065
16.4,526868,0.16292879955946532
16.5,492900,0.13022148756583196
16.6,587692,0.12887569263708692
16.7,561898,0.1289290467116222
16.8,669034,0.12733568557823322
16.9,638948,0.12756543679797203
17,758964,0.12613575586029824
17.1,706588,0.12618392528379174
17.2,824104,0.12395502421010438
17.3,765646,0.12393410523718085
17.4,878234,0.12278398233236516
17.5,799942,0.12246206131943302
17.6,897562,0.12074335846620947
17.7,797070,0.1206866498696787
17.8,878224,0.11994475176840176
17.9,765990,0.1196933824383317
18,842922,0.12048264473392573
18.1,715028,0.11958301120163416
18.2,766612,0.11904456353240327
18.3,648390,0.12004814375723169
18.4,686078,0.11961019192690354
18.5,577580,0.12142793783695163
18.6,610046,0.1215548509425185
18.7,514224,0.12399060350956573
18.8,547438,0.1247217350665689
18.9,465660,0.12617918436567624
19,500492,0.12794780471398193
19.1,421624,0.1289127876296293
19.2,447270,0.12850006122557517
19.3,378730,0.12983510290324485
19.4,399926,0.1290883610992654
19.5,337432,0.12983268647549165
19.6,357000,0.12829795249748274
19.7,301268,0.12870560091290514
19.8,318538,0.12918817897870571
19.9,270344,0.12774908376674082
20,296084,0.12819341514785373
20.1,253250,0.12746070903445764
20.2,275812,0.1272030067811883
20.3,241942,0.12725037912142034
20.4,263546,0.12640127778313529
20.5,231546,0.12691245865259781
20.6,251502,0.12500794324830694
20.7,216864,0.12614319111033706
20.8,235484,0.12403478070102449
20.9,202512,0.1243104837909876
21,221392,0.12444498950339972
21.1,187628,0.123938838538537
21.2,201252,0.12201581116124274
21.3,168498,0.12223350250908926
21.4,176484,0.12060163651288187
21.5,148672,0.11933968598938889
21.6,154468,0.11677917070001588
21.7,128790,0.1164138082006977
21.8,134450,0.11321948730550739
21.9,111684,0.11269994751818106
22,118460,0.11140661936100309
22.1,96668,0.10873490719637559
22.2,98766,0.10630497845045338
22.3,81530,0.10643196028351708
22.4,82752,0.10612012343858593
22.5,67104,0.10307373107827554
