year,rank,title,link,worldwide_gross
2007,4,Partner,https://en.wikipedia.org/wiki/Partner_(2007_film),101
2007,5,Taare Zameen Par,https://en.wikipedia.org/wiki/Taare_Zameen_Par,98.48
2007,6,Heyy Babyy,https://en.wikipedia.org/wiki/Heyy_Babyy,84
2007,7,Guru,https://en.wikipedia.org/wiki/Guru_(2007_film),83.67
2007,8,Bhool Bhulaiyaa,https://en.wikipedia.org/wiki/Bhool_Bhulaiyaa,83
2007,9,Namastey London,https://en.wikipedia.org/wiki/Namastey_London,71.4
2007,10,Ta Ra Rum Pum,https://en.wikipedia.org/wiki/Ta_Ra_Rum_Pum,70
2008,1,Ghajini,https://en.wikipedia.org/wiki/Ghajini_(2008_film),232
2008,2,Rab Ne Bana Di Jodi,https://en.wikipedia.org/wiki/Rab_Ne_Bana_Di_Jodi,157
2008,3,Singh Is Kinng,https://en.wikipedia.org/wiki/Singh_Is_Kinng,136
2008,4,Jodhaa Akbar,https://en.wikipedia.org/wiki/Jodhaa_Akbar,120
2008,5,Race,https://en.wikipedia.org/wiki/Race_(2008_film),106
2008,6,Golmaal Returns,https://en.wikipedia.org/wiki/Golmaal_Returns,95
2008,7,Dostana,https://en.wikipedia.org/wiki/Dostana_(2008_film),87
2008,8,Bachna Ae Haseeno,https://en.wikipedia.org/wiki/Bachna_Ae_Haseeno,79
2008,9,Bhoothnath,https://en.wikipedia.org/wiki/Bhoothnath,70
2008,10,Sarkar Raj,https://en.wikipedia.org/wiki/Sarkar_Raj,63
2009,1,3 Idiots,https://en.wikipedia.org/wiki/3_Idiots,400.61
2009,2,Love Aaj Kal,https://en.wikipedia.org/wiki/Love_Aaj_Kal_(2009_film),119.52
2009,3,Ajab Prem Ki Ghazab Kahani,https://en.wikipedia.org/wiki/Ajab_Prem_Ki_Ghazab_Kahani,106.74
2009,4,Wanted,https://en.wikipedia.org/wiki/Wanted_(2009_film),93.23
2009,5,Kambakkht Ishq,https://en.wikipedia.org/wiki/Kambakkht_Ishq,85.56
2009,6,De Dana Dan,https://en.wikipedia.org/wiki/De_Dana_Dan,81.85
2009,7,New York,https://en.wikipedia.org/wiki/New_York_(2009_film),78.34
2009,8,Kaminey,https://en.wikipedia.org/wiki/Kaminey,71.57
2009,9,Blue,https://en.wikipedia.org/wiki/Blue_(2009_film),63.92
2009,10,All the Best: Fun Begins,https://en.wikipedia.org/wiki/All_the_Best:_Fun_Begins,61
2010,1,Dabangg,https://en.wikipedia.org/wiki/Dabangg,221.14
2010,2,My Name Is Khan,https://en.wikipedia.org/wiki/My_Name_Is_Khan,220.3
2010,3,Golmaal 3,https://en.wikipedia.org/wiki/Golmaal_3,167
2010,4,Raajneeti,https://en.wikipedia.org/wiki/Raajneeti,145.5
2010,5,Housefull,https://en.wikipedia.org/wiki/Housefull_(2010_film),114.18
2010,6,Tees Maar Khan,https://en.wikipedia.org/wiki/Tees_Maar_Khan_(2010_film),101.89
2010,7,Once Upon A Time In Mumbaai,https://en.wikipedia.org/wiki/Once_Upon_A_Time_In_Mumbaai,96.44
2010,8,I Hate Luv Storys,https://en.wikipedia.org/wiki/I_Hate_Luv_Storys,72.52
2010,9,Anjaana Anjaani,https://en.wikipedia.org/wiki/Anjaana_Anjaani,69.85
2010,10,Khatta Meetha,https://en.wikipedia.org/wiki/Khatta_Meetha,62.79
2011,1,Bodyguard,https://en.wikipedia.org/wiki/Bodyguard_(2011_Hindi_film),252.99
2011,2,Ra.One,https://en.wikipedia.org/wiki/Ra.One,207
2011,3,Don 2,https://en.wikipedia.org/wiki/Don_2,202.81
2011,4,Ready,https://en.wikipedia.org/wiki/Ready_(2011_film),180
2011,5,Zindagi Na Milegi Dobara,https://en.wikipedia.org/wiki/Zindagi_Na_Milegi_Dobara,163
2011,6,Singham,https://en.wikipedia.org/wiki/Singham,147.89
2011,7,The Dirty Picture,https://en.wikipedia.org/wiki/The_Dirty_Picture,130
2011,8,Rockstar,https://en.wikipedia.org/wiki/Rockstar_(2011_film),108.7
2011,9,Murder 2,https://en.wikipedia.org/wiki/Murder_2,105
2011,10,Delhi Belly,https://en.wikipedia.org/wiki/Delhi_Belly_(film),103
2012,1,Ek Tha Tiger,https://en.wikipedia.org/wiki/Ek_Tha_Tiger,334.39
2012,2,Dabangg 2,https://en.wikipedia.org/wiki/Dabangg_2,255
2012,3,Jab Tak Hai Jaan,https://en.wikipedia.org/wiki/Jab_Tak_Hai_Jaan,235
2012,4,Rowdy Rathore,https://en.wikipedia.org/wiki/Rowdy_Rathore,203.39
2012,5.,Agneepath,https://en.wikipedia.org/wiki/Agneepath_(2012_film),193
